#  	Company                                     	Symbol 	Weight   	Price  	Change
1  	Boeing Company                              	BA     	8.931564 	352.18 	-0.91 (-0.26%)
2  	UnitedHealth Group Incorporated             	UNH    	6.222676 	247.42 	1.42 (0.58%)
3  	McDonald's Corporation                      	MCD    	5.364908 	212.75 	0.66 (0.31%)
4  	Home Depot Inc.                             	HD     	5.362631 	210.33 	-1.67 (-0.79%)
5  	Goldman Sachs Group Inc.                    	GS     	5.255632 	206.56 	-1.21 (-0.58%)
6  	Apple Inc.                                  	AAPL   	5.090453 	203.21 	1.97 (0.98%)
7  	Visa Inc. Class A                           	V      	4.495757 	179.24 	1.51 (0.85%)
8  	3M Company                                  	MMM    	4.191453 	166.54 	0.84 (0.51%)
9  	Travelers Companies Inc.                    	TRV    	3.881584 	153.63 	0.18 (0.12%)
10 	Walt Disney Company                         	DIS    	3.582086 	142.93 	1.32 (0.93%)
11 	Johnson & Johnson                           	JNJ    	3.577027 	141.77 	0.36 (0.25%)
12 	International Business Machines Corporation 	IBM    	3.524413 	140.97 	1.64 (1.18%)
13 	Microsoft Corporation                       	MSFT   	3.451815 	137.55 	1.09 (0.80%)
14 	Caterpillar Inc.                            	CAT    	3.396924 	133.48 	-0.81 (-0.60%)
15 	United Technologies Corporation             	UTX    	3.298271 	130.82 	0.43 (0.33%)
16 	American Express Company                    	AXP    	3.184695 	127.64 	1.74 (1.38%)
17 	Chevron Corporation                         	CVX    	3.120192 	124.86 	1.51 (1.22%)
18 	JPMorgan Chase & Co.                        	JPM    	2.867237 	113.06 	-0.29 (-0.26%)
19 	Procter & Gamble Company                    	PG     	2.856107 	113.87 	0.96 (0.85%)
20 	Walmart Inc.                                	WMT    	2.855348 	112.50 	-0.38 (-0.34%)
21 	NIKE Inc. Class B                           	NKE    	2.227010 	87.90  	-0.14 (-0.16%)
22 	Merck & Co. Inc.                            	MRK    	2.146570 	84.98  	0.12 (0.14%)
23 	Exxon Mobil Corporation                     	XOM    	1.933330 	77.15  	0.72 (0.94%)
24 	Verizon Communications Inc.                 	VZ     	1.426915 	56.91  	0.50 (0.89%)
25 	Cisco Systems Inc.                          	CSCO   	1.425145 	57.25  	0.91 (1.61%)
26 	Walgreens Boots Alliance Inc                	WBA    	1.403896 	55.63  	0.13 (0.24%)
27 	Coca-Cola Company                           	KO     	1.304991 	51.82  	0.23 (0.45%)
28 	Dow Inc.                                    	DOW    	1.210892 	47.99  	0.12 (0.25%)
29 	Intel Corporation                           	INTC   	1.207857 	48.27  	0.52 (1.08%)
30 	Pfizer Inc.                                 	PFE    	1.097063 	44.03  	0.66 (1.51%)
